#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  238
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  92
#! SET periodic_psi true
   -3.141592654   -3.141592654   47.369292712   40.956618631  -15.363694723
   -3.115192715   -3.141592654   48.416235911   37.228719501  -15.167455643
   -3.088792777   -3.141592654   49.375898002   33.867758733  -15.032929503
   -3.062392839   -3.141592654   50.237470616   31.003289644  -14.994614467
   -3.035992901   -3.141592654   51.037579779   28.878948459  -15.048576748
   -3.009592962   -3.141592654   51.791218110   27.771380437  -15.174316480
   -2.983193024   -3.141592654   52.527295116   27.614812603  -15.283455237
   -2.956793086   -3.141592654   53.264820758   28.023751119  -15.381784561
   -2.930393147   -3.141592654   54.037361388   28.966331909  -15.365422974
   -2.903993209   -3.141592654   54.811466933   29.321842266  -15.272828938
   -2.877593271   -3.141592654   55.586775369   28.733249002  -15.073398666
   -2.851193333   -3.141592654   56.334675048   27.070329775  -14.765274145
   -2.824793394   -3.141592654   57.026040479   24.091755665  -14.445051648
   -2.798393456   -3.141592654   57.606409718   20.153047926  -14.128991726
   -2.771993518   -3.141592654   58.091318068   15.490052818  -13.925789060
   -2.745593580   -3.141592654   58.446869122   10.772324514  -13.842942740
   -2.719193641   -3.141592654   58.675711167    6.419632215  -13.910512429
   -2.692793703   -3.141592654   58.797222388    2.800107320  -14.035500238
   -2.666393765   -3.141592654   58.844907918    0.051153672  -14.289141535
   -2.639993827   -3.141592654   58.813603707   -1.854825015  -14.583666634
   -2.613593888   -3.141592654   58.747511324   -3.163397885  -14.893628394
   -2.587193950   -3.141592654   58.653885538   -3.939845674  -15.225078135
   -2.560794012   -3.141592654   58.543045670   -4.445909258  -15.541432613
   -2.534394073   -3.141592654   58.410687372   -5.059099959  -15.819384242
   -2.507994135   -3.141592654   58.270032237   -5.833049535  -16.122965185
   -2.481594197   -3.141592654   58.102865336   -6.938603217  -16.401769706
   -2.455194259   -3.141592654   57.914308989   -7.615246678  -16.630069100
   -2.428794320   -3.141592654   57.707449291   -8.475651226  -16.875205688
   -2.402394382   -3.141592654   57.465349348   -9.031792100  -17.160748535
   -2.375994444   -3.141592654   57.229326662   -9.282540520  -17.486085703
   -2.349594506   -3.141592654   56.985782897   -9.301128031  -17.725490132
   -2.323194567   -3.141592654   56.729749089   -9.247141735  -17.864898927
   -2.296794629   -3.141592654   56.484236796   -9.475375429  -17.968411016
   -2.270394691   -3.141592654   56.235250931   -9.790635330  -18.013689930
   -2.243994753   -3.141592654   55.964388853  -10.381765973  -18.000820010
   -2.217594814   -3.141592654   55.669972848  -11.197448148  -18.098692411
   -2.191194876   -3.141592654   55.359865304  -12.268434159  -18.217935783
   -2.164794938   -3.141592654   55.020338552  -13.064111095  -18.374367277
   -2.138395000   -3.141592654   54.663469378  -13.323167887  -18.648315446
   -2.111995061   -3.141592654   54.320789592  -12.921173465  -19.061665470
   -2.085595123   -3.141592654   53.993201421  -12.123517735  -19.522683513
   -2.059195185   -3.141592654   53.684115831  -11.378223810  -20.011139649
   -2.032795246   -3.141592654   53.397109237  -10.358969937  -20.504166191
   -2.006395308   -3.141592654   53.121455819   -9.842258161  -20.928231387
   -1.979995370   -3.141592654   52.856011623   -9.886609025  -21.207106338
   -1.953595432   -3.141592654   52.579938583  -10.322955956  -21.420400563
   -1.927195493   -3.141592654   52.283919339  -11.076374255  -21.551775310
   -1.900795555   -3.141592654   51.998631512  -11.202424729  -21.666571226
   -1.874395617   -3.141592654   51.698890272  -11.050323985  -21.806167458
   -1.847995679   -3.141592654   51.414757603   -9.946986337  -21.858706977
   -1.821595740   -3.141592654   51.165545530   -8.271924284  -21.992532068
   -1.795195802   -3.141592654   50.979844559   -6.026041857  -22.142075323
   -1.768795864   -3.141592654   50.846973397   -4.005945892  -22.278924121
   -1.742395926   -3.141592654   50.761556441   -2.638140289  -22.554333389
   -1.715995987   -3.141592654   50.703106421   -2.248933947  -22.762547513
   -1.689596049   -3.141592654   50.632660338   -2.892799183  -22.921796269
   -1.663196111   -3.141592654   50.515519973   -4.399507039  -22.906167394
   -1.636796172   -3.141592654   50.376554473   -7.015215825  -22.990907430
   -1.610396234   -3.141592654   50.148116377   -9.777229777  -23.016129000
   -1.583996296   -3.141592654   49.857686121  -12.293903359  -23.015920355
   -1.557596358   -3.141592654   49.508702103  -13.940179486  -22.978806482
   -1.531196419   -3.141592654   49.123211838  -14.946587520  -23.033022793
   -1.504796481   -3.141592654   48.719766168  -14.949711554  -23.237908654
   -1.478396543   -3.141592654   48.315607291  -14.601950953  -23.492180973
   -1.451996605   -3.141592654   47.935117743  -13.909798282  -23.990992155
   -1.425596666   -3.141592654   47.560609442  -13.223917189  -24.567650796
   -1.399196728   -3.141592654   47.206739854  -13.228098319  -25.262194962
   -1.372796790   -3.141592654   46.860509051  -13.474145778  -26.047446253
   -1.346396852   -3.141592654   46.491600615  -14.140988070  -26.864357981
   -1.319996913   -3.141592654   46.101223828  -14.955009159  -27.698642407
   -1.293596975   -3.141592654   45.684465219  -15.883007557  -28.484029535
   -1.267197037   -3.141592654   45.245615597  -16.739995692  -29.342295302
   -1.240797098   -3.141592654   44.785686104  -17.410668735  -30.174878543
   -1.214397160   -3.141592654   44.318841090  -17.807545449  -31.088444537
   -1.187997222   -3.141592654   43.823481266  -18.631629480  -32.044719082
   -1.161597284   -3.141592654   43.293486164  -20.291677748  -33.056789642
   -1.135197345   -3.141592654   42.725599276  -22.808955482  -34.168780406
