#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  32
#! SET periodic_phi true
   -3.141592654 -119.749741518  -52.913215255
   -2.945243113 -128.212345229  -32.798898852
   -2.748893572 -132.581457621  -12.318913126
   -2.552544031 -133.408068230    2.452442739
   -2.356194490 -132.222295889    7.906856995
   -2.159844949 -130.894501498    4.354865973
   -1.963495408 -130.819296778   -3.828891524
   -1.767145868 -132.263594016   -9.992569908
   -1.570796327 -134.234121880   -8.556041464
   -1.374446786 -135.014621048    1.921902312
   -1.178097245 -133.099471208   17.971590557
   -0.981747704 -127.989847743   33.378047791
   -0.785398163 -120.398159317   42.471839423
   -0.589048623 -111.889300290   42.511857146
   -0.392699082 -104.265214622   33.687271417
   -0.196349541  -99.103626717   17.805994089
    0.000000000  -97.547980536   -2.542077231
    0.196349541 -100.144456471  -23.735899163
    0.392699082 -106.568330977  -40.489934092
    0.589048623 -115.323008849  -46.451680474
    0.785398163 -123.755317537  -36.735122676
    0.981747704 -128.686904801  -11.350872552
    1.178097245 -127.587137798   23.109695785
    1.374446786 -119.753368791   55.170752253
    1.570796327 -106.838295868   73.232099821
    1.767145868  -92.356366667   70.609030098
    1.963495408  -80.410436943   48.177149815
    2.159844949  -74.243124996   13.386719597
    2.356194490  -75.258169155  -23.173537105
    2.552544031  -82.809486003  -51.814741494
    2.748893572  -94.678788429  -66.538594840
    2.945243113 -107.922685207  -65.982732597
