#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  100
#! SET periodic_phi true
   -3.141592654 -119.715166646  -52.983008998
   -3.078760801 -122.851252692  -47.002569367
   -3.015928947 -125.595934578  -40.502595798
   -2.953097094 -127.923681148  -33.723020732
   -2.890265241 -129.821564690  -26.868330510
   -2.827433388 -131.292312326  -20.173790320
   -2.764601535 -132.353791547  -13.848232077
   -2.701769682 -133.036079115   -8.090803197
   -2.638937829 -133.378378198   -3.048809083
   -2.576105976 -133.433369787    1.119059899
   -2.513274123 -133.255031535    4.345001777
   -2.450442270 -132.908570529    6.546618856
   -2.387610417 -132.455597465    7.719809686
   -2.324778564 -131.962191162    7.899761315
   -2.261946711 -131.487625712    7.173491034
   -2.199114858 -131.082654250    5.663722094
   -2.136283004 -130.792694484    3.539618357
   -2.073451151 -130.652403556    0.989137314
   -2.010619298 -130.678061961   -1.750643242
   -1.947787445 -130.875893498   -4.456903592
   -1.884955592 -131.235478558   -6.879729305
   -1.822123739 -131.732188562   -8.824836477
   -1.759291886 -132.331217983  -10.089944552
   -1.696460033 -132.982972272  -10.527809655
   -1.633628180 -133.629991601  -10.036689856
   -1.570796327 -134.218446863   -8.557391172
   -1.507964474 -134.681568412   -6.115035760
   -1.445132621 -134.962165946   -2.771182875
   -1.382300768 -135.007318883    1.360697625
   -1.319468915 -134.769226839    6.103186475
   -1.256637061 -134.223046351   11.277016721
   -1.193805208 -133.343220114   16.682182066
   -1.130973355 -132.125118299   22.042907905
   -1.068141502 -130.575771637   27.137594399
   -1.005309649 -128.726234153   31.791013896
   -0.942477796 -126.595257981   35.843146774
   -0.879645943 -124.235536249   39.157484324
   -0.816814090 -121.689483245   41.578611877
   -0.753982237 -119.021708141   43.092015898
   -0.691150384 -116.287013277   43.634809600
   -0.628318531 -113.551695870   43.230326392
   -0.565486678 -110.870971738   41.878037624
   -0.502654825 -108.302368718   39.600809219
   -0.439822972 -105.902914708   36.483400042
   -0.376991118 -103.724838374   32.591067718
   -0.314159265 -101.811816796   27.984622817
   -0.251327412 -100.206982602   22.746963215
   -0.188495559  -98.951105993   16.980411219
   -0.125663706  -98.070871833   10.759527325
   -0.062831853  -97.593601577    4.202179031
    0.000000000  -97.537120569   -2.595278677
    0.062831853  -97.910488277   -9.502774708
    0.125663706  -98.717709656  -16.352116728
    0.188495559  -99.949030200  -22.977749653
    0.251327412 -101.585802297  -29.178194972
    0.314159265 -103.594449795  -34.741219154
    0.376991118 -105.927762168  -39.470452909
    0.439822972 -108.520166913  -43.174497654
    0.502654825 -111.309548755  -45.582490012
    0.565486678 -114.204989043  -46.549331113
    0.628318531 -117.109126304  -45.903293051
    0.691150384 -119.918456466  -43.571921375
    0.753982237 -122.530634167  -39.474423453
    0.816814090 -124.828783654  -33.689451626
    0.879645943 -126.716628101  -26.305653640
    0.942477796 -128.094444053  -17.488216105
    1.005309649 -128.880371115   -7.502891325
    1.068141502 -129.011649478    3.313471741
    1.130973355 -128.449283653   14.580806202
    1.193805208 -127.174142144   25.952743676
    1.256637061 -125.196571382   36.958411254
    1.319468915 -122.547212157   47.210443765
    1.382300768 -119.292411265   56.261623643
    1.445132621 -115.512835064   63.817251060
    1.507964474 -111.312268347   69.532222593
    1.570796327 -106.816492107   73.249241616
    1.633628180 -102.152156552   74.782252412
    1.696460033  -97.465243766   74.071918855
    1.759291886  -92.892125294   71.148983999
    1.822123739  -88.568715326   66.127317775
    1.884955592  -84.623628715   59.188198039
    1.947787445  -81.170020151   50.571406673
    2.010619298  -78.298141938   40.585358301
    2.073451151  -76.089832791   29.567746841
    2.136283004  -74.595167123   17.875821891
    2.199114858  -73.847561521    5.884720352
    2.261946711  -73.854537831   -6.069750007
    2.324778564  -74.600144203  -17.634502942
    2.387610417  -76.053344778  -28.497706225
    2.450442270  -78.160010566  -38.374254918
    2.513274123  -80.847263859  -47.047938889
    2.576105976  -84.038071998  -54.336458825
    2.638937829  -87.645432332  -60.146211904
    2.701769682  -91.565052152  -64.363049778
    2.764601535  -95.702549423  -66.975281213
    2.827433388  -99.951623223  -68.022843737
    2.890265241 -104.221763796  -67.541971301
    2.953097094 -108.409324049  -65.653856768
    3.015928947 -112.437083009  -62.500503610
    3.078760801 -116.223478925  -58.237517576
