#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  135
#! SET periodic_phi true
   -3.141592654  -85.185100316  -50.068765879
   -3.095050540  -87.412484920  -45.718420003
   -3.048508427  -89.435574992  -41.312552610
   -3.001966313  -91.266303988  -37.603706270
   -2.955424200  -92.941318062  -34.614680611
   -2.908882087  -94.476298879  -31.335271429
   -2.862339973  -95.834513143  -26.858458382
   -2.815797860  -96.951875815  -21.158287851
   -2.769255746  -97.794916010  -15.413587056
   -2.722713633  -98.395235725  -10.903424646
   -2.676171520  -98.828273324   -8.153382250
   -2.629629406  -99.165115677   -6.558624287
   -2.583087293  -99.432995679   -5.124456124
   -2.536545180  -99.617027161   -2.880178177
   -2.490003066  -99.678211333    0.169652168
   -2.443460953  -99.590541744    3.397371207
   -2.396918839  -99.360991294    6.188966511
   -2.350376726  -99.015866410    8.278823766
   -2.303834613  -98.587034054    9.768598545
   -2.257292499  -98.106527284   10.498307013
   -2.210750386  -97.615834668   10.184221167
   -2.164208272  -97.166172213    8.726690914
   -2.117666159  -96.799764393    6.684517138
   -2.071124046  -96.526177479    4.933236431
   -2.024581932  -96.319228696    3.837410380
   -1.978039819  -96.151686870    3.071118749
   -1.931497706  -96.025941988    1.958263134
   -1.884955592  -95.970396314    0.002629344
   -1.838413479  -96.025159878   -2.598933755
   -1.791871365  -96.207452531   -5.565772019
   -1.745329252  -96.526387538   -8.444728793
   -1.698787139  -96.975534677  -11.034807955
   -1.652245025  -97.531341603  -12.919196941
   -1.605702912  -98.145299634  -13.465102740
   -1.559160798  -98.748197036  -12.399622597
   -1.512618685  -99.266374302   -9.928409027
   -1.466076572  -99.646136307   -6.499399305
   -1.419534458  -99.852753032   -2.536300053
   -1.372992345  -99.867760160    1.701508486
   -1.326450232  -99.684128477    5.968283940
   -1.279908118  -99.303186390   10.180114712
   -1.233366005  -98.719870525   14.675640742
   -1.186823891  -97.916102786   19.694286564
   -1.140281778  -96.871440922   24.947483446
   -1.093739665  -95.589084171   29.693421424
   -1.047197551  -94.113647903   33.147510251
   -1.000655438  -92.514461364   35.047367699
   -0.954113324  -90.857888730   35.757839550
   -0.907571211  -89.181471374   35.994911690
   -0.861029098  -87.485388826   36.705479418
   -0.814486984  -85.736264770   38.326914001
   -0.767944871  -83.897916770   40.368505363
   -0.721402757  -81.975628854   41.691227648
   -0.674860644  -80.026283252   41.476277324
   -0.628318531  -78.120235720   40.036348315
   -0.581776417  -76.282309923   38.902123321
   -0.535234304  -74.461201378   39.432603237
   -0.488692191  -72.574616307   41.467933800
   -0.442150077  -70.592756274   43.238178979
   -0.395607964  -68.578939350   42.506952647
   -0.349065850  -66.679074753   38.306491555
   -0.302523737  -65.048733104   31.211523935
   -0.255981624  -63.784738347   22.842577443
   -0.209439510  -62.901571820   15.076633868
   -0.162897397  -62.334701766    9.533348627
   -0.116355283  -61.962346264    6.744058666
   -0.069813170  -61.669002118    5.780780058
   -0.023271057  -61.421104998    4.434301317
    0.023271057  -61.294895071    0.132341398
    0.069813170  -61.456062038   -7.874772805
    0.116355283  -62.053298861  -18.054615922
    0.162897397  -63.121681494  -27.665238211
    0.209439510  -64.574844559  -34.327579535
    0.255981624  -66.253751373  -37.463799835
    0.302523737  -68.014466607  -38.030489468
    0.349065850  -69.772035198  -37.612802881
    0.395607964  -71.512153708  -37.320566078
    0.442150077  -73.257148591  -38.074196779
    0.488692191  -75.067688400  -40.114569441
    0.535234304  -77.000218391  -43.117379964
    0.581776417  -79.069560657  -45.618612126
    0.628318531  -81.203660248  -45.678200226
    0.674860644  -83.258641318  -42.183459714
    0.721402757  -85.086163509  -36.304783276
    0.767944871  -86.634802785  -30.642479560
    0.814486984  -87.964485886  -27.014684680
    0.861029098  -89.167446331  -24.967926984
    0.907571211  -90.271955188  -22.330370783
    0.954113324  -91.202654611  -17.417263960
    1.000655438  -91.848323485  -10.217396516
    1.047197551  -92.130820683   -2.157066837
    1.093739665  -92.045347704    5.544002582
    1.140281778  -91.616763636   12.604321887
    1.186823891  -90.863726040   19.564574813
    1.233366005  -89.777115804   26.938188528
    1.279908118  -88.331977125   34.927273660
    1.326450232  -86.505987908   43.340910102
    1.372992345  -84.291506016   51.537358068
    1.419534458  -81.711833147   58.815521437
    1.466076572  -78.826360091   64.654239145
    1.512618685  -75.705263263   68.929606217
    1.559160798  -72.414187723   72.033434869
    1.605702912  -68.999597299   74.293392706
    1.652245025  -65.501343495   75.622560035
    1.698787139  -61.965393679   75.869671882
    1.745329252  -58.438997322   75.178488841
    1.791871365  -54.963031500   73.879929658
    1.838413479  -51.569330686   71.464368981
    1.884955592  -48.329929675   66.999448055
    1.931497706  -45.362572353   59.802244998
    1.978039819  -42.789057427   50.218870894
    2.024581932  -40.688458186   39.877789509
    2.071124046  -39.058009494   30.130357017
    2.117666159  -37.859902725   21.321435023
    2.164208272  -37.065253370   12.493545963
    2.210750386  -36.701932762    2.729229195
    2.257292499  -36.825869953   -8.315342215
    2.303834613  -37.483610658  -20.149497330
    2.350376726  -38.690154048  -31.669821246
    2.396918839  -40.403007399  -41.663694223
    2.443460953  -42.526040016  -49.163054418
    2.490003066  -44.926568829  -53.530971234
    2.536545180  -47.465759465  -55.299071957
    2.583087293  -50.055965680  -56.096058794
    2.629629406  -52.698227785  -57.797395959
    2.676171520  -55.461079933  -61.204994543
    2.722713633  -58.409229276  -65.545114558
    2.769255746  -61.548850262  -69.173074136
    2.815797860  -64.814893941  -70.813170076
    2.862339973  -68.106490190  -70.344734941
